,Customer_ID,Name,Age,Salary,Join_Date,Department,Performance_Score,Email,City,Gender,Is_Active
0,1357,Customer_1357,27,29664.12,2022-06-14,HR,69.1,user1356@outlook.com,Houston,Male,FALSE
1,985,Customer_985,27,47373.17,,Marketing,1.9,user984@yahoo.com,Dallas,Female,FALSE
2,1828,Customer_860,62,63380.36,20170530,Operations,78.2,user859@gmail.com,,Male,
3,1985,Customer_1985,thirty,56746.57,2016-12-19 00:00:00,IT,85.8,user1984@company.com,New York,Male,TRUE
4,1294,Customer_1294,41,61654.21,2019-03-12,Finance,82.5,user1293@gmail.com,NEW YORK,Other,TRUE
5,1470,Customer_1470,54,58544.89,2022-02-24,Finance,48.7,user1469@outlook.com,San Antonio,Male,FALSE
6,1211,Customer_1211,31,61379.54,01-13-2020,Marketing,,user1210@gmail.com,Los Angeles,Female,TRUE
7,368,Customer_368,65,90205.71,2021-06-18,IT,72.4,user367@company.com,San Diego,Male,TRUE
8,1704,,71,77165.23,,Marketing,37.6,user1703@gmail.com,Chicago,Other,TRUE
9,1384,Customer_1384,61,32664.99,2021-07-11,Sales,48,user1383@gmail.com,Houston,Other,TRUE
10,1788,Customer_1788,26,46429.39,2022-12-12,HR,27.2,user1787@outlook.com,San Antonio,Other,FALSE
11,252,Customer_252,26,59132.87,,Operations,83.5,user251@yahoo.com,,Other,FALSE
12,472,,41,91986.01,2020/01/13,IT,61.9,user471@outlook.com,San Diego,Female,FALSE
13,383,Customer_383,37,42660.68,2018-11-26,Sales,3.6,user382@outlook.com,Houston TX,Male,FALSE
14,354,Customer_354,47,22214.34,"June 13, 2015",Marketing,46,user353@gmail.com,San Jose,Other,FALSE
15,619,Customer_619,70,38895.56,2022-05-20,Finance,99.5,user618@yahoo.com,Los Angeles,Male,TRUE
16,1092,Customer_1092,44,36689.95,2022-01-02,HR,93.4,user1091@outlook.com,Houston,Male,FALSE
17,1403,CUSTOMER_1403,54,55904.83,2018/04/16,IT,51.1,user1402@gmail.com,New York,Male,FALSE
18,1138,Customer_1138,33,54439.65,2016-02-28,IT,27.7,user1137@gmail.com,Chicago,Other,FALSE
19,1602,Customer_1602,60,62606.22,2017-07-12,Sales,30.2,user1601@company.com,San Antonio,Female,TRUE
20,584,Customer_584,33,22572.32,"February 25, 2022",Operations,89.4,user583@yahoo.com,San Diego,Male,TRUE
21,926,Customer_926,66,62924.55,2021-03-30,Operations,6.1,user925@outlook.com,San Jose,Female,TRUE
22,865,CUSTOMER_66,31,42198.79,2015-06-14,IT,92.5,,San Diego,Other,FALSE
23,924,Customer_924,64,51067.39,2022-07-27,HR,31.7,user923@yahoo.com,,Male,FALSE
24,322,Customer_322,77,50099.44,2021-08-12,Sales,89.4,user321@outlook.com,Chicago,Male,TRUE
25,306,Customer_306,,47246.55,2022-09-24,IT,31.8,user305@outlook.com,Houston,Female,FALSE
26,1542,Customer_1542,21,48662.31,2018-05-13,Ops,68.5,,Chicago,Female,FALSE
27,1772,Customer_1772,39,17054.26,00/00/0000,HR,78.8,user1771@gmail.com,San Antonio,Other,FALSE
28,1402,Customer_1402,58,58498.09,,Finance,66.7,user1401@gmail.com,New York,Female,FALSE
29,433,CUSTOMER_433,72,29691.26,Jan 13 2020,Operations,40.8,user432@outlook.com,San Antonio,Male,FALSE
30,695,Customer_695,78,55435.7,2022-07-27,HR,41.5,user694@company.com,San Antonio,Other,TRUE
31,1665,Customer_1665,71,47902.45,00/00/0000,Support,50.8,user1664@outlook.com,New York,Female,FALSE
32,112,Customer_112,74,80881.24,2018-11-23,H R,83.5,user111@outlook.com,New York,Male,TRUE
33,1023,CUSTOMER_1023,22,67134.78,2019-11-22,Support,63.6,user1022@company.com,Houston,Other,FALSE
34,30,Customer_30,38,79209.55,2021-12-23,Marketing,,user29@yahoo.com,San Antonio,Male,TRUE
35,1883,Customer_1883,36,52137.74,2021-06-06,HR,13.9,user1882@yahoo.com,San Diego,Other,TRUE
36,384,Customer_384,41,52744.87,2019-07-31,Marketing,92.7,user383@yahoo.com,Philadelphia,Female,FALSE
37,1473,Customer_1473,50,45750.92,2020-10-02,Finance,40.8,user1472@gmail.com,San Jose,Male,FALSE
38,1874,Customer_1874,71,68425.13,2022-11-27,HR,25.4,user1873@outlook.com,Houston,Female,FALSE
39,307,Customer_307,73,60600.94,2021-08-29 00:00:00,HR,96.9,user306@company.com,New York,Male,TRUE
40,57,Customer_57,68,21314.99,,Marketing,23.2,user56@company.com,San Diego,Other,TRUE
41,772,Customer_772,66,54929.51,2015-10-09,HR,50.4,user771@yahoo.com,Los Angeles,Male,TRUE
42,778,CUSTOMER_778,30,53028.96,20180907,Support,1.5,user777@company.com,Phoenix,Female,TRUE
43,1694,Customer_1694,25,70496.78,2021-06-24,Sales,83.9,user1693@gmail.com,San Jose,Female,FALSE
44,1272,Customer_1272,,74603.11,unknown,Marketing,11.6,user1271@company.com,San Jose,Male,TRUE
45,1577,Customer_1577,32,80584.64,2018-07-22 00:00:00,,84.5,user1576@yahoo.com,Los Angeles,Male,FALSE
46,421,Customer_421,37,45732.81,,Sales,75.9,user420@yahoo.com,Chicago,Other,TRUE
47,820,Customer_820,22,41171.94,,IT,33,user819@company.com,Phoenix,Male,TRUE
48,1511,Customer_1511,44,74371.05,2020-08-06,Marketing,25.5,user1510@outlook.com,San Antonio,Other,TRUE
49,1183,Customer_1183,64,86641.67,2022-05-11,Sales,3.2,USER284@YAHOO.COM,Phoenix,Female,TRUE
50,495,Customer_495,57,63671.76,2019-08-10,Support,96.4,user494@company.com,San Jose,Male,TRUE
51,325,Customer_325,33,53327.17,2019-10-08,HR,94.3,user324@company.com,San Antonio,Male,FALSE
52,1331,Customer_1437,50,48548.51,2017-12-28,Support,,user1436@yahoo.com,Los Angeles,Other,FALSE
53,1134,,33,79435.14,2020-08-15,HR,89.5,user1133@company.com,Los Angeles,Male,FALSE
54,679,Customer_679,41,66607.49,2016-01-05 00:00:00,Finance,7.7,user678@outlook.com,Chicago,Male,FALSE
55,904,Customer_904,75,33579.54,2016-02-29,Sales,93.9,user903@yahoo.com,Chicago,Female,FALSE
56,1367,Customer_1367,18,71307.93,2021-03-19,Operations,72.5,user1366@outlook.com,Los Angeles,Female,FALSE
57,1152,Customer_1152,78,59604.07,,Sales,55.4,user1151@yahoo.com,Chicago,Female,TRUE
58,1556,Customer_1556,31,58176.25,2020-07-16,Support,51.5,user1555@gmail.com,New York,Other,TRUE
59,352,Customer_352,40,30485.57,Jan 13 2020,Finance,99.8,user351@yahoo.com,Los Angeles,Other,TRUE
60,52,Customer_1519,,56975.8,2020-01-02,IT,38.3,user1518@outlook.com,San Diego,Female,FALSE
61,1464,Customer_1464,53,40513.64,2019-11-17,HR,58.3,user1463@outlook.com,Philadelphia,Female,FALSE
62,819,Customer_819,75,"$49,198",2018-05-20,Marketing,45.1,user818@outlook.com,Dallas,Male,TRUE
63,615,Customer_615,53.6,54448.36,2018-04-26,Finance,57.3,user614@outlook.com,San Antonio,Male,0
64,71,Customer_71,70,82975.05,2021-12-19,Support,70.2,user70@gmail.com,Phoenix,Male,TRUE
65,451,Customer_451,50,68026.65,2022-11-29,Marketing,54.6,user450@gmail.com,New York,Other,FALSE
66,1308,Customer_1308,37,35683.37,,HR,47.1,user1307@gmail.com,new york,Female,TRUE
67,1579,Customer_1579,64,67017.46,9999-99-99,Finance,67,user1578@company.com,San Jose,Male,FALSE
68,1950,Customer_1950,42,"$34,669",2019-06-15,Marketing,80.7,user1949@company.com,San Antonio,Female,TRUE
69,1186,Customer_1186,60,65080.91,2019-05-25 00:00:00,Operations,80.8,user1185@yahoo.com,Philadelphia,Female,TRUE
70,870,Customer_870,56,56691.82,2018-07-04,Finance,63.1,user869@outlook.com,Phoenix,Female,TRUE
71,354,Customer_354,47,22214.34,"June 13, 2015",Marketing,46,user353@gmail.com,San Jose,Other,FALSE
72,1469,Customer_1469,78,67805.87,TBD,Finance,32.8,user1468@yahoo.com,Chicago,Female,FALSE
73,975,Customer_975,63,35680.79,2021-10-22 00:00:00,Marketing,30.9,user974@outlook.com,Los Angeles,Male,TRUE
74,1340,Customer_1340,29,42006.6,2021-09-10,Operations,,user@domain,Houston,Other,FALSE
75,1551,Customer_1551,75,44071.82,,Operations,54.7,user1550@gmail.com,Dallas,Other,TRUE
76,125,Customer_125,old,44148.45,2019-11-11 00:00:00,Operations,63.7,user124@company.com,Los Angeles,Male,FALSE
77,211,Customer_211,,34454.53,2018-07-16,Support,78,user210@company.com,San Antonio,male,FALSE
78,949,Customer_949,25,53862.65,2016-01-11 00:00:00,Operations,31.6,user948@gmail.com,Phoenix,Male,TRUE
79,1079,Customer_1079,19,53285.68,2022-05-08,Support,21.8,user1078@company.com,Dallas,Male,TRUE
80,1647,Customer_1647,79,,2018-04-01,Operations,28.9,user1646@yahoo.com,Phoenix,Male,FALSE
81,1494,CUSTOMER_1494,46,63082.09,2020/01/17,Finance,85.2,user1493@outlook.com,San Diego,Other,TRUE
82,1112,Customer_1112,34,,2015-06-04,Sales,58.3,user1111@outlook.com,Dallas,Female,FALSE
83,585,Customer_585,25 years,60496.86,Jan 13 2020,Marketing,82.4,user584@gmail.com,Dallas,Other,FALSE
84,1334,Customer_1334,21,31094.24,2022-03-02,Operations,71.5,user1333@company.com,San Jose,Other,TRUE
85,353,Customer_353,48,70336.61,2021-09-15,Operations,,user352@gmail.com,Phoenix,Female,FALSE
86,1042,Customer_1042,30,52887.48,2020-02-28,Finance,60,user1041@gmail.com,New York,Male,TRUE
87,1755,Customer_1755,19,69060.87,2021-04-03,HR,35.8,user1754@company.com,Los Angeles,Female,FALSE
88,1567,Customer_1567,63,56696.44,2015-09-27,Support,34.6,user1566@gmail.com,Los Angeles,Female,FALSE
89,520,Customer_520,52,73846.55,2016-09-24,Sales,41.1,user519@company.com,Philadelphia,Other,FALSE
90,70,Customer_70,43,55538.42,2015-03-25 00:00:00,Marketing Dept,77.3,user69@yahoo.com,Los Angeles,Female,TRUE
91,1295,Customer_1295,72,64255.45,2017-08-23,Support,Excellent,user1294@outlook.com,San Jose,Male,FALSE
92,1631,Customer_1631,,61904.95,2015-04-27,Finance,40.5,user1630@gmail.com,San Antonio,Other,
93,1081,,68,52772.09,2016-12-26,Sales,19.5,user1080@company.com,Los Angeles,Female,TRUE
94,1561,,40,65072.21,2019-02-20,Marketing,53.3,user1560@gmail.com,New York,Female,FALSE
95,1014,Customer_1014,18,59011.1,2022-11-22 00:00:00,Operations,18.2,user1013@company.com,Philadelphia,Other,TRUE
96,1834,Customer_1834,29,76319.24,08-Aug-2019,Finance,88.9,user1833@company.com,New York,Female,FALSE
97,212,Customer_212,24,47887.39,2016-05-04 00:00:00,Support,B,user211@outlook.com,Philadelphia,Male,TRUE
98,1011,,51,71145.58,2016-06-13,IT,15.2,user1010@outlook.com,Philadelphia,Male,TRUE
99,1568,Customer_1568,53,40910.1,20180620,HR,3.5,user1567@yahoo.com,San Diego,Male,FALSE
100,100,Customer_100,51,71610.83,,IT,91.5,user99@company.com,Los Angeles,Other,TRUE
101,1311,CUSTOMER_1311,21,42300.82,"July 22, 2016",Support,51.7,user1310@gmail.com,Dallas,Other,FALSE
102,731,Customer_731,75,80304.82,2016-09-24 00:00:00,Operations,20.1,user730@company.com,Philadelphia,Male,FALSE
103,530,Customer_530,62,51094.89,2018-09-07,HR,49.3,user529@company.com,Philadelphia,Other,TRUE
104,299,Customer_299,43,63999.91,2016-12-12,Sales,2.9,user298@yahoo.com,Philadelphia,Male,TRUE
105,1019,Customer_1019,45,72017.21,2018-12-21 00:00:00,HR,36.7,user1018@company.com,Chicago,Male,TRUE
106,1331,,23,57274.28,TBD,Sales,11.1,user1330@yahoo.com,Phoenix,Other,FALSE
107,713,Customer_713,78,41835.36,,Support,9.9,user712@outlook.com,Chicago,Other,TRUE
108,1330,Customer_1330,22,48359.12,2016-05-14,Finance,34.3,user1329@gmail.com,Dallas,Female,FALSE
109,651,Customer_651,65,77171.9,,Marketing,13.6,user650@outlook.com,New York,Male,FALSE
110,240,Customer_240,74,31893.72,2022-10-27,Marketing,57.4,user239@outlook.com,Chicago,Male,FALSE
111,1962,Customer_1962,24,,2020-02-05,,58.5,user1961@outlook.com,Houston,Male,TRUE
112,1722,Customer_1722,60,39693.93,2021/01/07,Operations,18.9,user1721@company.com,San Jose,Male,TRUE
113,1847,Customer_1847,63,28526.19,22/11/2020,Sales,0.7,user1846@yahoo.com,Phoenix,Male,FALSE
114,1877,Customer_1877,73,54802.41,9999-99-99,Marketing,71.5,user1876@company.com,San Jose,Male,FALSE
115,395,Customer_395,57,57647.67,2022-06-06,Support,36.4,user394@outlook.com,Philly,Other,TRUE
116,1354,Customer_1354,23,71709.23,2021-05-26,Marketing,,user1353@gmail.com,Houston,Male,TRUE
117,1230,Customer_1230,42,78941.2,2019-03-24,Sales,4.3,user1229@yahoo.com,Chicago,Female,FALSE
118,1717,Customer_1717,41,59703.07,09-13-2021,HR,63.6,user1716@company.com,San Antonio,Female,TRUE
119,1145,Customer_1145,20,,2017-10-11,Operations,26,user1144@gmail.com,Houston,Other,TRUE
120,1621,Customer_1621,45,55810.31,2021/08/21,Finance,3.2,user1620@company.com,New York,Other,FALSE
121,803,Customer_803,69,54795.96,24/11/2020,Finance,27.1,user802@yahoo.com,New York,Male,FALSE
122,129,Customer_129,46,49844.67,2022-12-07,Marketing,29.6,user128@yahoo.com,San Diego,Other,Yes
123,863,Customer_863,23,36119.03,2017-07-24,Marketing,64.7,user862@yahoo.com,Phoenix,Male,FALSE
124,276,Customer_276,19,57666.34,2021-12-08,Operations,22.4,user275@company.com,San Jose,Male,TRUE
125,535,Customer_535,33,35884.47,2022-01-11,Operations,59.2,user534@company.com,Chicago,Male,TRUE
126,1056,Customer_1056,51,58481.93,,HR,Excellent,user1055@gmail.com,New York,Female,TRUE
127,1426,Customer_1426,31,,2019-11-25 00:00:00,Operations,32.6,user1425@gmail.com,Houston,Other,FALSE
128,1377,Customer_1377,52,59288.78,01-02-2019,Operations,44.6,user1376@outlook.com,Phoenix,Male,TRUE
129,1346,Customer_1346,54,55909.13,2017-09-17,Finance,0.4,user1345@outlook.com,San Jose,Female,TRUE
130,527,Customer_527,24,32561.83,06-17-2019,Finance,77.7,user526@yahoo.com,San Jose,Female,TRUE
131,486,Customer_486,50,73275.06,,IT,19.5,user485@gmail.com,Los Angeles,Other,TRUE
132,1810,Customer_1810,38,66598.81,2015-07-30,Sales,18.5,user1809@gmail.com,Philadelphia,,FALSE
133,1971,Customer_1971,32,73479.77,2017-02-28,Finance,64.3,,Philadelphia,Other,TRUE
134,1892,Customer_1892,51,55072.2,,Finance,43.2,user1891@company.com,San Diego,Female,
135,1560,Customer_1560,28,60100.89,,IT,74.3,user1559@outlook.com,San Antonio,Female,FALSE
136,1610,Customer_1610,24,fifty thousand,2021-03-06,HR,18.7,user1609@gmail.com,Houston,Female,FALSE
137,1813,Unknown,58,36527.97,2016-11-29,Support,Good,user1812@gmail.com,Houston,Male,TRUE
138,1191,Customer_1191,53,61710.99,2018-06-22,Finance,88.7,user1190@outlook.com,Philadelphia,Male,TRUE
139,528,Customer_528,74,68231.57,2022-04-15,,67.3,user527@yahoo.com,New York,Male,TRUE
140,1236,Customer_1236,74,39205.52,,HR,13.9,user1235@yahoo.com,Houston,Female,FALSE
141,531,Customer_531,37,,2022-07-25,Operations,63.3,user530@gmail.com,Los Angeles,Other,TRUE
142,901,Customer_901,55,,2021-09-25,Operations,73.1,user900@gmail.com,Philadelphia,Other,TRUE
143,1871,CUSTOMER_1871,72,58509.21,2022-11-27,HR,6.9,user1870@company.com,New York,Other,FALSE
144,1259,Customer_1259,64,69746.24,2019-04-14,Finance,66.3,user1258@company.com,San Antonio,Male,TRUE
145,818,,48,56723.04,2020-11-05,IT,52.5,user817@gmail.com,Los Angeles,Other,FALSE
146,908,Customer_908,thirty,39793.93,TBD,Operations,19.9,user907@company.com,Los Angeles,Female,FALSE
147,1041,Customer_1041,62,75037.08,2021-12-06,Marketing,8.2,user1040@yahoo.com,San Diego,Male,TRUE
148,1454,Customer_1454,59,91516.13,2021-10-04,IT,82.2,user1453@outlook.com,Chicago,Male,TRUE
149,680,Customer_680,33,71832.63,2019-06-05,Marketing,16.6,user679@company.com,Houston,Female,TRUE
150,1165,Customer_1165,18,88596.15,2015-09-27,HR,74.4,user1164@outlook.com,New York,Female,TRUE
151,1537,Customer_1537,60,61391.79,2022-12-16,Sales,56.5,user1536@gmail.com,Houston,Other,FALSE
152,116,Customer_116,33,71901.3,26/02/2019,Marketing,74.9,user115@yahoo.com,San Diego,Male,TRUE
153,966,Customer_966,26,51767.53,,Operations,,user965@yahoo.com,Phoenix,Other,FALSE
154,343,Customer_343,56,61766.43,20220921,,21.1,user342@yahoo.com,San Antonio,Female,FALSE
155,1692,Customer_1692,24,38619.31,2016-10-16,Finance,40.2,user1691@company.com,San Antonio,Other,TRUE
156,1942,Customer_1942,40,66338.88,2021-06-09 00:00:00,Finance,30.2,user1941@gmail.com,Phoenix,Female,TRUE
157,1997,Customer_1997,61,38813.87,2016-07-29,Operations,2.2,user1996@gmail.com,San Jose,Female,FALSE
158,255,Customer_255,50,70705.14,2020-05-10,Support,56.6,user254@yahoo.com,Houston,Female,TRUE
159,1827,Customer_1827,44,,,Finance,12.4,user1826@company.com,San Jose,Male,TRUE
160,1832,Customer_1832,57,67906.84,2022-09-29 00:00:00,Marketing,83.7,user1831@yahoo.com,San Diego,Female,TRUE
161,1951,Customer_1951,29,45951.88,2020-07-22,Sales,25.2,user1950@outlook.com,Los Angeles,Female,TRUE
162,1091,,32,15643.18,2022-02-15,Marketing,93.2,user1090@gmail.com,Los Angeles,Male,TRUE
163,1275,Customer_1275,62,53523.42,2020-10-14,Operations,82.9,user1274@yahoo.com,San Antonio,Other,TRUE
164,121,Customer_121,41,74479.9,2015-02-21,Operations,29.3,user120@company.com,San Antonio,Other,TRUE
165,1944,Customer_1944,71,high,2020-12-31,IT,62.8,user1943@outlook.com,Los Angeles,Female,TRUE
166,580,Customer_580,52,44343.21,20210716,HR,55.4,user579@yahoo.com,San Diego,Other,FALSE
167,929,Customer_1302,54,44211.35,2016-02-10,Sales,93.3,user1301@company.com,Phoenix,Male,1
168,257,Customer_257,59,55253.28,2015-09-25,Finance,14,user256@yahoo.com,San Jose,Female,FALSE
169,809,Customer_809,33,60364.36,,IT,52,user808@company.com,Chicago,Male,TRUE
170,136,CUSTOMER_136,41,50680.72,2021-11-27,Finance,45.6,user135@outlook.com,Chicago,Female,TRUE
171,1111,Customer_1111,73,36375.76,not a date,Support,97.8,user1110@yahoo.com,San Antonio,Male,FALSE
172,1582,Customer_1582,26,61535.12,2022-08-17,Finance,62.5,user1581@gmail.com,Chicago,Male,TRUE
173,940,,27,67889.65,2017-01-13,IT,71.4,user939@gmail.com,Chicago,Male,TRUE
174,465,Customer_465,63,66596.61,2015-10-13 00:00:00,Marketing,76.2,user464@company.com,Chicago,Female,FALSE
175,439,Customer_439,200,,13/01/2020,Operations,80.3,user438@gmail.com,San Jose,Male,TRUE
176,1345,Customer_1345,55,68551.74,2021-06-13,,11.5,user1344@yahoo.com,Dallas,Female,TRUE
177,1048,Customer_1048,49,$60k,2017-09-23,Sales,27.4,user1047@gmail.com,Phoenix,Female,FALSE
178,931,Customer_931,70,37028.44,31-Dec-2017,IT,90.8,user930@yahoo.com,San Antonio,Female,TRUE
179,110,Customer_110,40,83662.07,13/01/2020,IT,55.6,user109@yahoo.com,Houston,Other,FALSE
180,362,Customer_362,74,77960.99,9999-99-99,Operations,A,user361@company.com,Phoenix,Female,TRUE
181,351,CUSTOMER_351,67,52750.18,2020/01/13,Sales,78,user350@company.com,San Antonio,Male,TRUE
182,1633,Customer_1633,45,29218.74,2015-07-06,Support,62.9,user1632@outlook.com,Chicago,Male,FALSE
183,1757,Customer_1757,40,65890.05,13/08/2016,Operations,7.4,user1756@gmail.com,San Diego,Female,FALSE
184,621,Customer_621,33,42564.44,29/01/2018,Support,78,user620@gmail.com,Los Angeles,Other,TRUE
185,234,Customer_234,45,31768.3,,IT,14.4,user233@company.com,Los Angeles,Male,TRUE
186,1526,,29,45175.81,2016-05-17,Operations,61.7,user1525@outlook.com,San Antonio,Male,Active
187,1428,Customer_1428,68,fifty thousand,2019-12-07,HR,55.5,user1427@company.com,Dallas,Female,TRUE
188,693,,50,33331.64,2019-03-02,IT,39.7,user692@outlook.com,San Diego,Other,FALSE
189,1926,Customer_1926,78,unknown,2015-01-22,Operations,1000,user1925@company.com,Dallas,Other,FALSE
190,789,,24,high,13/01/2020,Finance,28.3,user788@yahoo.com,Dallas,Male,FALSE
191,1343,CUSTOMER_1343,43,48093.9,2022-02-01,Operations,20.1,user1342@yahoo.com,Phoenix,Female,FALSE
192,882,Customer_882,79,64279.96,,IT,95.7,user881@company.com,Chicago,Female,FALSE
193,757,Customer_757,,56935.97,2016-05-15,Sales,56.7,user756@company.com,Philadelphia,Male,FALSE
194,480,Customer_480,50,55587.46,2021-01-15,HR,10,user479@gmail.com,Phoenix,Other,FALSE
195,553,CUSTOMER_553,75,60804.48,2016-11-12,Sales,61.4,user552@gmail.com,New York,Other,TRUE
196,248,,56,42287.15,,Marketing,15.8,user247@yahoo.com,San Diego,Other,TRUE
197,1745,Customer_1745,46,60319.26,2018-02-19,Sales,47.2,user1744@company.com,Philadelphia,Other,TRUE
198,345,Customer_345,57,55041.74,2022-11-06 00:00:00,Operations,82,user344@company.com,San Jose,,TRUE
199,1860,Customer_1860,,51938.6,"December 18, 2017",HR,49.2,user1859@outlook.com,Houston,Female,TRUE
200,568,Customer_568,77,,2021-05-07,Operations,Good,user567@company.com,San Jose,Female,TRUE
201,571,Customer_571,unknown,500000,2016-11-27,IT,49.9,user570@gmail.com,Dallas,Female,FALSE
202,308,Customer_308,76,62605.24,2020-04-08,IT,26.2,user307@company.com,Chicago,male,TRUE
203,1783,,34,54451.06,2018-10-09,Unknown,5.6,user1782@yahoo.com,Los Angeles,Female,TRUE
204,213,Customer_213,76,34829.72,2021-01-03,Unknown,7.6,user212@gmail.com,New York,Male,TRUE
205,1938,Customer_1938,25,58284.89,30-Mar-2022,HR,45.5,user@domain,San Antonio,Female,TRUE
206,905,Customer_905,,46415.54,"June 25, 2021",Sales,35,user904@gmail.com,Houston,Female,FALSE
207,232,Customer_232,75,72003.2,2022-12-10,Sales,78.2,user231@gmail.com,Chicago,Other,FALSE
208,415,Customer_415,50,63381.11,20190121,IT,62.6,user414@company.com,San Diego,Other,FALSE
209,1352,,20,-10000,2018-12-16,Finance,49.9,user1351@company.com,Houston,Male,FALSE
210,282,Customer_282,34,55663.66,2018-05-02,Finance,64.8,user281@company.com,New York,Male,FALSE
211,1968,Customer_1968,thirty,50479.8,9999-99-99,IT,43.6,user1967@company.com,Houston,Male,TRUE
212,1240,Customer_1240,43,37163.91,2019-02-01,Support,11.6,user1239@gmail.com,Dallas,Male,TRUE
213,434,,39,36203.13,"December 17, 2022",Marketing,-10,user433@gmail.com,Phoenix,Male,FALSE
214,50,Customer_50,68,62044.31,2018-08-31 00:00:00,Sales,52.2,user49@yahoo.com,Houston,Female,FALSE
215,298,Customer_298,61,62581.41,2017-09-09,IT,55.6,user297@yahoo.com,Dallas,Male,FALSE
216,445,Customer_445,51,51302.37,2020/01/13,HR,12.2,user444@yahoo.com,Philadelphia,Female,FALSE
